Asset,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST
Channel,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close
2019-09-27,184.98455810546875,127.45122528076172,136.48162841796875,77.55378723144531,138.8319549560547,187.2490692138672,196.0500030517578,129.60000610351562,138.75,78.87999725341797,148.14999389648438,192.05999755859375
2019-09-30,188.14547729492188,127.549560546875,135.4979705810547,77.33748626708984,137.28575134277344,186.05963134765625,199.39999389648438,129.6999969482422,137.75,78.66000366210938,146.5,190.83999633789062
2019-10-01,188.80596923828125,128.77883911132812,137.12098693847656,77.12118530273438,134.7169952392578,185.31866455078125,200.10000610351562,130.9499969482422,139.39999389648438,78.44000244140625,141.60000610351562,190.0800018310547
2019-10-02,182.1538848876953,123.37003326416016,132.4486541748047,75.5677490234375,132.0531005859375,179.8199462890625,193.0500030517578,125.44999694824219,134.64999389648438,76.86000061035156,138.8000030517578,184.44000244140625
2019-10-03,180.6913604736328,123.51753997802734,132.84213256835938,75.27278900146484,132.14822387695312,186.85910034179688,191.5,125.5999984741211,135.0500030517578,76.55999755859375,138.89999389648438,191.66000366210938
2019-10-04,183.05026245117188,120.46894073486328,134.26841735839844,75.13513946533203,135.0023956298828,187.87303161621094,194.0,122.5,136.5,76.41999816894531,141.89999389648438,192.6999969482422
2019-10-07,186.211181640625,120.5672836303711,134.661865234375,78.18302154541016,135.24024963378906,195.23391723632812,197.35000610351562,122.5999984741211,136.89999389648438,79.5199966430664,142.14999389648438,200.25
2019-10-08,185.69223022460938,119.14131927490234,131.90765380859375,79.24486541748047,135.28782653808594,194.79519653320312,196.8000030517578,121.1500015258789,134.10000610351562,80.5999984741211,142.1999969482422,199.8000030517578
2019-10-09,186.9660186767578,119.3871841430664,133.77659606933594,80.3656997680664,135.3354034423828,195.67263793945312,198.14999389648438,121.4000015258789,136.0,81.73999786376953,142.25,200.6999969482422
2019-10-10,187.201904296875,117.56785583496094,128.85833740234375,80.50334167480469,134.24131774902344,197.23257446289062,198.39999389648438,119.55000305175781,131.0,81.87999725341797,141.10000610351562,202.3000030517578
